Sector,company_count,company_pct
Technology,79,15.74
Industrials,74,14.74
Financial Services,67,13.35
Healthcare,65,12.95
Consumer Cyclical,56,11.16
Consumer Defensive,35,6.97
Utilities,32,6.37
Real Estate,31,6.18
Energy,24,4.78
Basic Materials,22,4.38
Communication Services,17,3.39
