Sector,mcap,weight_pct
Technology,13782150871040,26.22
Financial Services,7197188986880,13.69
Healthcare,6822408440832,12.98
Consumer Cyclical,6020102991872,11.45
Communication Services,5393756593152,10.26
Industrials,4391123105792,8.35
Consumer Defensive,3451429302272,6.57
Energy,1958822831104,3.73
Real Estate,1216714019840,2.31
Utilities,1216688109568,2.31
Basic Materials,1112116820992,2.12
